Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title
Burkina Faso ET1,Executive Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/7,Monthly 30/30
Chad ET1,Executive Telecom,0.18,0.13,980,1180,0,0.16,Daily 1/1,Weekly 7/7,Monthly 30/30
Comoros ET1,Executive Telecom,0.12,0.085,980,1180,0,0.1,Daily 1/1,Weekly 7/7,Monthly 30/30
Cuba1 ET1,Executive Telecom,0.32,0.25,980,1180,0,0.3,Daily 1/1,Weekly 7/7,Monthly 30/30
Cuba ET1,Executive Telecom,0.32,0.25,980,1180,0,0.3,Daily 1/1,Weekly 7/7,Monthly 30/30
Ecuador1 ET1,Executive Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/7,Monthly 30/30
Ecuador ET1,Executive Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/7,Monthly 30/30
El Salvador ET1,Executive Telecom,0.08,0.06,980,1180,0,0.07,Daily 1/1,Weekly 7/7,Monthly 30/30
Eritrea  ET1,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Jamaica ET1,Executive Telecom,0.1,0.075,980,1180,0,0.09,Daily 1/1,Weekly 7/7,Monthly 30/30
Kiribati ET1,Executive Telecom,0.17,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/30
Sao Tome ET1,Executive Telecom,0.23,0.18,980,1180,0,0.2,Daily 1/1,Weekly 7/7,Monthly 30/30
Togo ET1,Executive Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/7,Monthly 30/30
