Range_Name,destination_number,user
Gambia AT261,220100,
Gambia AT262,220101,
Gambia AT263,220108,
Gambia AT264,220112,
Gambia AT265,220115,
Gambia AT266,220121,
Gambia AT267,220134,
Gambia AT268,220162,
Gambia AT269,220177,
Gambia AT270,220182,
Gambia AT271,220189,
Gambia AT272,220192,
Guinea AT170,224100,
Guinea AT171,224104,
Guinea AT172,224109,
Guinea AT173,224113,
Guinea AT174,224115,
Guinea AT175,224135,
Guinea AT176,224138,
Guinea AT177,224140,
Guinea AT178,224160,
Guinea AT179,224166,
Guinea AT180,224168,
Guinea AT181,224169,
Guinea AT182,224170,
Guinea AT163,224170,
Guinea AT163,224171,
Guinea AT183,224172,
Guinea AT163,224172,
Guinea AT163,224173,
Guinea AT184,224174,
Guinea AT163,224174,
Guinea AT163,224175,
Guinea AT163,224177,
Guinea AT163,224178,
Guinea AT163,224179,
Guinea AT185,224187,
Guinea AT186,224188,
Guinea AT187,224193,
Guinea AT188,224199,
Cape Verde AT20,238171,
Diego Garcia AT2,246103,
Diego Garcia AT2,246108,
Diego Garcia AT18,246109,
Diego Garcia AT2,246111,
Diego Garcia AT2,246113,
Diego Garcia AT2,246114,
Diego Garcia AT19,246126,
Diego Garcia AT2,246130,
Diego Garcia AT2,246132,
Diego Garcia AT2,246133,
Diego Garcia AT2,246135,
Diego Garcia AT2,246139,
Diego Garcia AT20,246140,
Diego Garcia AT2,246140,
Diego Garcia AT2,246144,
Diego Garcia AT2,246151,
Diego Garcia AT2,246155,
Diego Garcia AT9,246160,
Diego Garcia AT9,246161,
Diego Garcia AT9,246162,
Diego Garcia AT9,246163,
Diego Garcia AT9,246164,
Diego Garcia AT9,246165,
Diego Garcia AT9,246166,
Diego Garcia AT9,246167,
Diego Garcia AT9,246168,
Diego Garcia AT2,246168,
Diego Garcia AT9,246169,
Diego Garcia AT2,246173,
Diego Garcia AT2,246181,
Diego Garcia AT2,246194,
Diego Garcia AT21,246199,
Diego Garcia AT2,246199,
Seychelles AT2,248153,
Seychelles AT3,248180,
Seychelles AT78,248999,
Somalia AT449,252203,
Somalia AT216,252211,
Somalia AT217,252213,
Somalia AT218,252215,
Somalia AT219,252217,
Somalia AT220,252218,
Somalia AT221,252220,
Somalia AT222,252223,
Somalia AT97,252290,
Somalia AT98,252297,
Somalia AT99,252298,
Somalia AT143,252862,
St. Helena AT48,290900,
St. Helena AT48,290902,
St. Helena AT48,290903,
St. Helena AT8,290903,
St. Helena AT48,290904,
St. Helena AT48,290905,
St. Helena AT8,290906,
St. Helena AT48,290908,
St. Helena AT8,290908,
St. Helena AT48,290909,
St. Helena AT8,290910,
St. Helena AT49,290912,
St. Helena AT49,290913,
St. Helena AT49,290914,
St. Helena AT49,290915,
St. Helena AT8,290916,
St. Helena AT49,290916,
St. Helena AT49,290917,
St. Helena AT8,290917,
St. Helena AT49,290918,
St. Helena AT49,290919,
St. Helena AT50,290920,
St. Helena AT50,290921,
St. Helena AT50,290922,
St. Helena AT50,290923,
St. Helena AT8,290924,
St. Helena AT50,290924,
St. Helena AT50,290925,
St. Helena AT50,290926,
St. Helena AT50,290927,
St. Helena AT50,290928,
St. Helena AT51,290930,
St. Helena AT51,290931,
St. Helena AT51,290933,
St. Helena AT51,290934,
St. Helena AT8,290935,
St. Helena AT51,290935,
St. Helena AT51,290937,
St. Helena AT51,290938,
St. Helena AT8,290938,
St. Helena AT51,290939,
St. Helena AT8,290941,
St. Helena AT8,290948,
St. Helena AT52,290950,
St. Helena AT52,290951,
St. Helena AT52,290952,
St. Helena AT52,290953,
St. Helena AT52,290954,
St. Helena AT52,290955,
St. Helena AT52,290956,
St. Helena AT8,290956,
St. Helena AT52,290957,
St. Helena AT52,290958,
St. Helena AT52,290959,
St. Helena AT53,290960,
St. Helena AT53,290961,
St. Helena AT53,290962,
St. Helena AT53,290963,
St. Helena AT53,290964,
St. Helena AT53,290965,
St. Helena AT53,290966,
St. Helena AT53,290967,
St. Helena AT53,290968,
St. Helena AT53,290969,
St. Helena AT54,290970,
St. Helena AT8,290970,
St. Helena AT54,290971,
St. Helena AT54,290972,
St. Helena AT54,290973,
St. Helena AT54,290974,
St. Helena AT54,290975,
St. Helena AT8,290975,
St. Helena AT54,290976,
St. Helena AT54,290977,
St. Helena AT54,290978,
St. Helena AT8,290978,
St. Helena AT54,290979,
St. Helena AT55,290980,
St. Helena AT8,290980,
St. Helena AT55,290981,
St. Helena AT55,290983,
St. Helena AT55,290984,
St. Helena AT55,290985,
St. Helena AT55,290986,
St. Helena AT55,290987,
St. Helena AT55,290988,
St. Helena AT55,290989,
St. Helena AT56,290991,
St. Helena AT56,290992,
St. Helena AT56,290993,
St. Helena AT56,290994,
St. Helena AT8,290994,
St. Helena AT56,290995,
St. Helena AT56,290996,
St. Helena AT56,290997,
St. Helena AT8,290997,
St. Helena AT56,290998,
St. Helena AT56,290999,
Chile AT40,561101,
Chile AT40,561103,
Chile AT40,561109,
Chile AT40,561112,
Chile AT40,561114,
Chile AT40,561117,
Chile AT40,561118,
Chile AT40,561125,
Chile AT40,561127,
Chile AT40,561136,
Chile AT40,561139,
Chile AT40,561144,
Chile AT40,561145,
Chile AT40,561162,
Chile AT40,561165,
Chile AT40,561180,
Chile AT40,561182,
Chile AT40,561186,
Chile AT41,561570,
Nauru AT1,674110,
Nauru AT1,674111,
Nauru AT1,674112,
Nauru AT1,674113,
Nauru AT1,674114,
Nauru AT1,674115,
Nauru AT1,674116,
Nauru AT1,674117,
Nauru AT1,674118,
Nauru AT1,674119,
Nauru AT5,674126,
Nauru AT11,674551,
Nauru AT12,674552,
Nauru AT13,674553,
Nauru AT14,674554,
Solomon Islands AT7,677122,
Vanuatu AT4,678166,
Cook AT2,682100,
Cook AT2,682106,
Cook AT2,682107,
Cook AT2,682115,
Cook AT2,682116,
Cook AT2,682117,
Cook AT2,682133,
Cook AT2,682135,
Cook AT2,682137,
Cook AT2,682138,
Cook AT2,682156,
Cook AT2,682162,
Cook AT2,682166,
Cook AT2,682180,
Cook AT2,682187,
Cook AT2,682191,
Cook AT2,682195,
Tuvalu AT2,688102,
Tuvalu AT2,688115,
Tuvalu AT9,688121,
Tuvalu AT9,688122,
Tuvalu AT2,688122,
Tuvalu AT9,688123,
Tuvalu AT9,688124,
Tuvalu AT9,688125,
Tuvalu AT9,688126,
Tuvalu AT9,688127,
Tuvalu AT9,688128,
Tuvalu AT9,688129,
Tuvalu AT10,688130,
Tuvalu AT10,688132,
Tuvalu AT10,688133,
Tuvalu AT10,688135,
Tuvalu AT10,688136,
Tuvalu AT10,688137,
Tuvalu AT10,688138,
Tuvalu AT2,688138,
